Geneid	all_features_anno	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000103282	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102534	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102213	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103629	Gm5694	0	0	0	0	0	0	0	0
ENSMUSG00000051285	Pcmtd1	75	238	164	75	269	78	106	126
ENSMUSG00000098201	NA	4	10	3	1	2	4	3	8
ENSMUSG00000103509	NA	0	0	0	0	0	0	0	0
ENSMUSG00000048538	NA	28	0	17	15	17	19	31	42
ENSMUSG00000103709	NA	0	0	0	0	0	0	0	0
ENSMUSG00000077244	Gm23274	0	0	0	0	0	0	0	0
ENSMUSG00000102768	Gm19002	0	0	0	0	0	0	0	0
ENSMUSG00000097797	NA	61	3	0	0	0	9	46	1
ENSMUSG00000103498	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103067	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102320	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104226	Gm7470	0	0	0	0	0	0	0	0
ENSMUSG00000103903	Rps2-ps2	0	0	0	0	0	0	0	0
ENSMUSG00000103557	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025909	Sntg1	0	0	0	0	0	0	0	0
ENSMUSG00000102647	NA	0	0	0	0	0	0	0	0
ENSMUSG00000086235	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102253	NA	0	0	0	0	0	0	0	0
ENSMUSG00000093970	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103884	NA	0	0	0	0	0	0	0	0
ENSMUSG00000084353	NA	41	7	43	22	28	16	34	65
ENSMUSG00000103933	NA	25	40	23	17	30	9	42	37
ENSMUSG00000076135	NA	0	0	0	0	0	0	0	0
ENSMUSG00000086195	NA	2	0	0	0	2	0	1	0
ENSMUSG00000104504	NA	0	0	0	0	0	0	0	0
ENSMUSG00000066693	NA	1	2	5	2	7	0	1	1
ENSMUSG00000102316	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103819	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102871	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101571	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104428	Gm18299	0	0	0	0	0	0	0	0
ENSMUSG00000102272	NA	0	0	0	0	1	0	0	0
ENSMUSG00000065625	Gm24765	0	0	0	0	0	0	0	0
ENSMUSG00000103411	Gm18300	0	0	0	0	0	0	0	0
ENSMUSG00000061024	Rrs1	180	6	663	61	636	182	439	786
ENSMUSG00000025911	Adhfe1	1	0	0	0	0	0	0	124
ENSMUSG00000079671	2610203C22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000081441	Gm6161	0	1	1	0	1	0	1	4
ENSMUSG00000067879	Vxn	0	0	0	0	0	0	0	0
ENSMUSG00000099827	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025912	Mybl1	0	0	0	4	0	3	0	4
ENSMUSG00000045210	Vcpip1	2	7	392	16	141	180	205	168
ENSMUSG00000097893	NA	2	14	14	1	0	5	4	0
ENSMUSG00000025915	Sgk3	4	17	192	44	10	67	109	28
ENSMUSG00000046334	Gm6195	5	6	0	0	3	1	0	0
ENSMUSG00000088916	NA	0	0	0	0	0	0	0	0
ENSMUSG00000046101	Mcmdc2	0	0	31	0	0	0	0	0
ENSMUSG00000098234	Snhg6	100	448	396	182	328	134	250	609
ENSMUSG00000093178	Snord87	0	0	0	6	10	4	11	44
ENSMUSG00000099032	Tcf24	0	0	0	0	0	0	0	0
ENSMUSG00000104025	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025916	Ppp1r42	0	0	0	0	0	0	0	0
ENSMUSG00000087199	NA	0	0	0	0	0	0	0	0
ENSMUSG00000095780	LOC115487608	0	0	0	0	0	0	0	0
ENSMUSG00000025917	Cops5	341	31	547	285	1114	222	526	891
ENSMUSG00000056763	Cspp1	2	2	220	13	264	54	313	210
ENSMUSG00000102356	NA	0	0	0	0	0	0	0	0
ENSMUSG00000067851	Arfgef1	147	49	362	109	315	44	182	466
ENSMUSG00000088153	NA	0	0	0	0	3	0	0	0
ENSMUSG00000102556	NA	0	0	47	24	0	0	0	0
ENSMUSG00000042501	Cpa6	0	0	0	0	0	0	0	0
ENSMUSG00000103810	NA	0	0	0	0	0	0	0	0
ENSMUSG00000083422	NA	0	0	0	0	0	0	0	0
ENSMUSG00000094979	Gm25253	0	0	0	0	0	0	0	0
ENSMUSG00000081417	Gm15603	0	0	0	0	0	0	0	0
ENSMUSG00000103448	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100212	Gm5522	0	0	0	0	0	0	0	0
ENSMUSG00000100648	Gm28659	2	1	1	0	2	0	5	4
ENSMUSG00000088585	NA	0	0	0	0	0	0	0	0
ENSMUSG00000048960	Prex2	64	1	1	45	1	12	8	8
ENSMUSG00000077318	Gm24173	0	0	0	0	0	0	0	0
ENSMUSG00000101827	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103494	NA	0	0	0	0	0	0	0	0
ENSMUSG00000057715	A830018L16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000103825	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099845	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103561	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101610	NA	27	7	48	17	47	17	48	61
ENSMUSG00000093864	Gm22633	0	0	0	0	0	0	0	0
ENSMUSG00000098555	Mir6341	0	0	0	0	0	0	0	0
ENSMUSG00000097628	NA	0	0	0	0	0	0	0	0
ENSMUSG00000098163	NA	0	0	0	0	0	0	0	0
ENSMUSG00000097171	Gm17644	0	0	0	0	0	0	0	0
ENSMUSG00000101314	NA	0	0	0	0	0	0	0	0
ENSMUSG00000016918	Sulf1	0	0	0	0	0	0	0	0
ENSMUSG00000025938	Slco5a1	0	0	0	0	0	0	0	0
ENSMUSG00000104518	NA	0	0	0	0	0	0	0	0
ENSMUSG00000069620	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099498	NA	0	0	0	0	0	0	0	0
ENSMUSG00000042414	Prdm14	0	0	0	0	0	0	0	0
ENSMUSG00000005886	Ncoa2	233	47	205	30	388	165	307	217
ENSMUSG00000103506	NA	1	0	0	0	0	0	0	118
ENSMUSG00000103495	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099183	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102639	NA	0	0	0	0	1	17	0	0
ENSMUSG00000104170	NA	0	0	0	0	0	0	11	0
ENSMUSG00000087782	Gm23169	0	0	0	0	0	0	0	0
ENSMUSG00000103085	NA	0	1	22	30	13	9	72	2
ENSMUSG00000102664	NA	0	28	106	1	94	4	1	0
ENSMUSG00000101476	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101171	Gm7593	1	0	0	0	0	0	0	0
ENSMUSG00000025935	Tram1	337	530	1119	179	1218	165	304	1063
ENSMUSG00000025937	Lactb2	1	116	33	79	63	43	79	11
ENSMUSG00000102982	NA	38	1	0	0	0	42	1	131
ENSMUSG00000067813	Xkr9	0	0	0	0	0	0	0	0
ENSMUSG00000077368	Gm26273	0	0	0	0	0	0	0	0
ENSMUSG00000097711	Gm5523	1	4	1	3	6	4	7	7
ENSMUSG00000102166	NA	0	0	0	0	0	0	0	0
ENSMUSG00000089358	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104209	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025932	Eya1	174	1	198	73	5	48	21	84
ENSMUSG00000095853	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102588	NA	0	0	0	0	0	0	2	0
ENSMUSG00000054493	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025930	Msc	0	0	0	0	0	0	0	0
ENSMUSG00000103492	NA	0	0	0	0	0	0	0	0
ENSMUSG00000081201	NA	1	1	4	0	0	0	2	2
ENSMUSG00000082193	Rpl5-ps1	72	183	74	63	95	28	110	153
ENSMUSG00000032769	Trpa1	0	0	0	0	0	0	35	2
ENSMUSG00000088159	Gm26345	0	0	0	0	0	0	0	0
ENSMUSG00000073737	Gm10566	0	2	2	0	0	2	3	6
ENSMUSG00000092083	Kcnb2	0	0	0	0	0	0	0	0
ENSMUSG00000102937	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104149	NA	0	0	0	0	0	0	0	0
ENSMUSG00000088829	Gm25227	0	0	0	0	0	0	0	0
ENSMUSG00000077377	Gm25168	0	0	0	0	0	0	0	0
ENSMUSG00000101652	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100814	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025925	Terf1	1	13	285	137	317	17	155	163
ENSMUSG00000104379	NA	0	0	0	0	0	0	0	0
ENSMUSG00000032719	Sbspon	0	0	0	0	0	0	0	0
ENSMUSG00000088943	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100652	Gm7634	0	0	0	0	0	0	0	0
ENSMUSG00000067795	4930444P10Rik	0	0	0	0	0	0	0	0
ENSMUSG00000043716	Rpl7	5264	7291	9246	4395	10120	3739	9234	11304
ENSMUSG00000025921	Rdh10	133	2	4	0	104	0	130	84
ENSMUSG00000104165	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100868	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025920	Stau2	2	39	211	3	76	15	2	32
ENSMUSG00000089982	Gm7568	0	0	0	0	0	0	0	0
ENSMUSG00000025939	Ube2w	35	2	110	50	61	82	99	146
ENSMUSG00000102457	NA	0	0	0	0	0	0	0	0
ENSMUSG00000079658	Eloc	368	215	509	283	1339	327	285	825
ENSMUSG00000097744	D030040B21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100959	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025940	Tmem70	318	294	1034	185	695	84	372	557
ENSMUSG00000025779	Ly96	23	0	62	32	3	18	33	17
ENSMUSG00000100093	NA	0	0	0	0	0	0	0	0
ENSMUSG00000091020	Gm5828	13	5	0	14	0	5	0	7
ENSMUSG00000101640	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104133	NA	0	0	0	0	0	0	0	0
ENSMUSG00000042686	Jph1	0	0	0	0	0	0	0	0
ENSMUSG00000100110	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025777	Gdap1	0	0	0	0	0	0	0	0
ENSMUSG00000099899	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100272	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100398	NA	0	0	1	0	0	0	0	0
ENSMUSG00000101589	Rbm6-ps1	1	0	2	2	5	0	0	0
ENSMUSG00000102048	NA	0	0	0	0	0	0	0	0
ENSMUSG00000089534	Gm25166	0	0	0	0	0	0	0	0
ENSMUSG00000067780	Pi15	0	0	0	0	0	0	0	2
ENSMUSG00000100053	Gm28154	0	0	0	0	0	0	0	0
ENSMUSG00000085125	Gm16070	96	1	92	3	0	0	92	4
ENSMUSG00000025776	Crispld1	1	1	231	31	228	75	1	173
ENSMUSG00000099895	NA	0	177	0	0	0	0	0	0
ENSMUSG00000100554	NA	1	0	1	1	0	0	0	1
ENSMUSG00000099473	Gm18775	0	0	0	0	0	0	0	0
ENSMUSG00000099591	Gm17969	0	0	0	0	0	0	0	0
ENSMUSG00000109887	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102001	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101717	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025774	Crisp4	0	0	0	0	0	0	0	0
ENSMUSG00000070977	Defb44-ps	0	0	0	0	0	0	0	0
ENSMUSG00000073735	Defb18	0	0	0	0	0	0	0	0
ENSMUSG00000067773	Defb41	0	0	0	0	0	0	0	0
ENSMUSG00000101685	Gm17837	0	0	0	0	0	0	0	0
ENSMUSG00000101306	Gm5252	0	0	0	0	0	0	0	0
ENSMUSG00000088800	Gm24075	0	0	0	0	0	0	0	0
ENSMUSG00000101644	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099433	NA	0	0	0	0	0	0	0	0
ENSMUSG00000089787	Gm15825	0	0	0	0	0	0	0	0
ENSMUSG00000042596	Tfap2d	0	0	0	0	0	0	0	0
ENSMUSG00000100720	NA	27	27	35	22	29	17	20	37
ENSMUSG00000025927	Tfap2b	0	0	0	0	0	0	0	0
ENSMUSG00000100538	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101117	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100204	Gm4849	0	0	0	7	3	0	6	11
ENSMUSG00000084668	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102597	NA	0	0	0	0	0	0	0	0
ENSMUSG00000043760	Pkhd1	0	2	0	0	0	0	0	0
ENSMUSG00000104095	NA	0	0	0	0	0	0	0	0
ENSMUSG00000089914	4930486I03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000090142	NA	1	9	7	4	5	4	10	13
ENSMUSG00000070175	Gm24162	0	0	0	0	0	0	0	0
ENSMUSG00000099906	Lincmd1	0	0	0	0	0	0	0	0
ENSMUSG00000065559	Mir206	0	0	0	0	0	0	0	0
ENSMUSG00000065480	Mir133b	0	0	0	0	0	0	0	0
ENSMUSG00000025929	Il17a	0	0	0	0	0	0	0	0
ENSMUSG00000041872	Il17f	0	0	0	0	0	0	0	0
ENSMUSG00000041859	Mcm3	1815	919	1751	407	1123	722	1307	1413
ENSMUSG00000099714	Gm20587	0	0	0	0	0	0	0	0
ENSMUSG00000102121	NA	0	0	0	0	0	0	0	0
ENSMUSG00000088858	Gm24723	0	0	0	0	0	0	0	0
ENSMUSG00000097934	6720483E21Rik	75	0	0	0	0	0	0	0
ENSMUSG00000025931	Paqr8	15	0	0	4	56	5	4	0
ENSMUSG00000077314	Gm24171	0	0	0	0	0	0	0	0
ENSMUSG00000100929	NA	0	0	0	0	0	0	0	0
ENSMUSG00000041809	Efhc1	0	0	0	0	0	0	0	0
ENSMUSG00000041779	Tram2	46	250	292	123	348	81	13	497
ENSMUSG00000099971	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100819	NA	0	0	0	1	0	0	0	11
ENSMUSG00000025933	Tmem14a	0	1	143	22	60	1	65	140
ENSMUSG00000102633	NA	0	0	1	0	0	0	0	0
ENSMUSG00000025934	Gsta3	0	0	100	49	45	1	0	0
ENSMUSG00000099343	NA	0	0	0	0	0	0	0	0
ENSMUSG00000096375	NA	1	0	0	2	0	0	0	2
ENSMUSG00000025936	Gm4956	0	250	0	0	0	0	0	1
ENSMUSG00000093963	NA	0	0	0	0	0	0	0	0
ENSMUSG00000067750	Khdc1a	0	0	87	0	0	0	0	0
ENSMUSG00000086194	NA	0	0	0	0	0	0	0	0
ENSMUSG00000094436	NA	0	0	0	0	0	0	0	0
ENSMUSG00000041722	Khdc1c	0	0	0	0	0	0	0	0
ENSMUSG00000085507	NA	0	0	0	0	0	0	0	0
ENSMUSG00000094926	NA	0	0	0	0	0	0	0	0
ENSMUSG00000085079	Khdc1b	0	0	0	0	0	0	0	0
ENSMUSG00000085679	NA	0	0	0	0	0	0	0	0
ENSMUSG00000028033	Kcnq5	3	0	15	34	50	42	18	0
ENSMUSG00000104138	NA	0	0	0	0	0	0	0	0
ENSMUSG00000082935	Gm7658	42	37	45	45	60	18	49	82
ENSMUSG00000103748	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099692	Gm5696	0	0	0	0	0	0	0	0
ENSMUSG00000100418	NA	0	0	0	0	0	0	0	0
ENSMUSG00000041670	Rims1	0	0	0	0	0	0	0	0
ENSMUSG00000097642	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101468	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101227	NA	0	0	0	0	0	0	0	0
ENSMUSG00000073730	Ppp1r14bl	0	0	0	0	0	0	0	0
ENSMUSG00000089553	Gm24176	0	0	0	0	0	0	0	0
ENSMUSG00000102766	NA	0	0	0	0	0	0	0	0
ENSMUSG00000065405	Mir30a	0	0	0	0	0	0	0	0
ENSMUSG00000097970	NA	0	0	0	0	0	0	0	0
ENSMUSG00000065567	Mir30c-2	0	0	0	0	0	0	0	0
ENSMUSG00000100775	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101226	Gm20954	0	0	0	0	0	0	0	0
ENSMUSG00000026158	Ogfrl1	83	174	345	108	433	59	124	154
ENSMUSG00000097920	Gm7784	0	0	0	0	0	0	0	0
ENSMUSG00000099503	Gm28822	0	0	0	0	0	0	0	0
ENSMUSG00000026156	B3gat2	0	0	0	0	0	0	0	0
ENSMUSG00000026155	Smap1	31	106	80	9	127	86	108	93
ENSMUSG00000026154	Sdhaf4	276	771	553	84	638	59	223	274
ENSMUSG00000102495	NA	0	0	0	0	0	0	0	0
ENSMUSG00000026153	Fam135a	0	0	110	1	0	5	0	1
ENSMUSG00000102398	NA	0	0	0	0	0	0	0	0
ENSMUSG00000097670	NA	0	0	0	0	0	0	0	0
ENSMUSG00000026147	Col9a1	0	0	0	0	0	0	0	0
ENSMUSG00000026141	Col19a1	0	0	0	0	0	0	0	0
ENSMUSG00000077463	Gm26418	0	0	0	0	0	0	0	0
ENSMUSG00000099997	Tubb4b-ps2	36	14	36	40	50	21	59	76
ENSMUSG00000100131	NA	10	18	25	5	50	5	10	17
ENSMUSG00000067736	Gm10222	34	45	52	28	51	16	34	55
ENSMUSG00000101939	NA	1	1	7	0	15	2	2	2
ENSMUSG00000101111	NA	119	229	212	125	264	91	186	240
ENSMUSG00000100862	Gm10925	27	69	88	35	116	27	36	105
ENSMUSG00000102070	NA	96	274	197	143	216	94	146	277
ENSMUSG00000101249	NA	256	655	404	206	413	104	320	430
ENSMUSG00000073725	Lmbrd1	69	283	420	182	0	87	224	106
ENSMUSG00000100808	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100483	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100450	Gm9443	0	0	0	0	0	0	0	0
ENSMUSG00000099392	NA	0	0	0	0	0	0	0	0
ENSMUSG00000033569	Adgrb3	0	0	0	0	0	0	0	0
ENSMUSG00000080849	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104257	Gm20172	0	0	0	0	0	0	0	0
ENSMUSG00000096866	Gm22260	0	0	0	0	0	0	0	0
ENSMUSG00000102296	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103209	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104027	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102407	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103214	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104100	NA	0	0	0	0	0	0	0	0
ENSMUSG00000084740	Gm25294	0	0	0	0	0	0	0	0
ENSMUSG00000103889	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101301	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104221	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102250	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102317	NA	0	0	0	0	0	0	0	2
ENSMUSG00000103563	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102465	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102659	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103924	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104132	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102747	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102386	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103004	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104516	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101618	Gm18443	0	0	0	0	0	0	0	0
ENSMUSG00000099458	Gm19123	0	0	0	0	0	0	0	0
ENSMUSG00000088111	Gm24064	0	0	0	0	0	0	0	0
ENSMUSG00000073722	4931408C20Rik	0	0	0	0	0	0	0	0
ENSMUSG00000095256	n-R5s209	0	0	0	0	0	0	0	0
ENSMUSG00000100310	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101514	Gm5524	0	0	0	0	0	0	0	0
ENSMUSG00000101033	Gm18776	0	0	0	0	0	0	0	0
ENSMUSG00000101372	Gm19028	0	0	0	0	0	0	0	0
ENSMUSG00000103241	NA	0	0	0	0	0	0	0	0
ENSMUSG00000086240	NA	1	1	2	1	23	2	0	3
ENSMUSG00000048411	Gm597	0	0	0	0	0	0	0	0
ENSMUSG00000081557	NA	0	0	0	0	0	0	0	0
ENSMUSG00000058590	Gm6462	0	0	0	0	0	0	0	0
ENSMUSG00000101235	Gm18033	0	0	0	0	0	0	0	0
ENSMUSG00000064433	NA	0	0	0	0	0	0	0	0
ENSMUSG00000080625	NA	0	0	0	0	0	0	0	0
ENSMUSG00000080391	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099257	Mir6342	0	0	0	0	0	0	0	0
ENSMUSG00000099492	Gm5525	72	76	83	58	134	34	128	167
ENSMUSG00000118548	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101726	NA	0	0	0	0	0	0	0	0
ENSMUSG00000096829	NA	0	0	0	0	0	0	0	0
ENSMUSG00000098883	NA	0	0	0	0	0	0	0	0
ENSMUSG00000053185	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100261	NA	1	0	5	1	6	2	4	4
ENSMUSG00000101180	NA	0	0	0	0	0	0	0	0
ENSMUSG00000048874	Phf3	164	4	375	172	16	99	110	232
ENSMUSG00000103783	NA	0	0	0	0	0	41	37	26
ENSMUSG00000104315	NA	0	0	0	0	3	17	7	56
ENSMUSG00000026064	Ptp4a1	0	0	0	12	18	0	0	0
ENSMUSG00000117310	Ptp4a1	0	0	6	4	0	0	0	7
ENSMUSG00000117091	Gm5698	0	0	0	0	0	0	0	0
ENSMUSG00000086726	Gm9458	0	0	0	0	0	0	0	0
ENSMUSG00000086727	4931428L18Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100237	NA	0	0	0	0	0	0	0	0
ENSMUSG00000098529	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100910	NA	0	0	0	0	0	0	0	0
ENSMUSG00000099796	NA	0	0	0	0	0	0	0	0
ENSMUSG00000050217	Lgsn	0	0	0	0	0	0	0	0
ENSMUSG00000026063	Dnaaf6	0	0	0	0	0	0	0	0
ENSMUSG00000077664	Gm26145	0	0	0	0	0	0	0	0
ENSMUSG00000100205	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100592	NA	0	0	0	0	0	0	0	0
ENSMUSG00000094215	NA	0	0	0	0	0	0	0	0
ENSMUSG00000101093	NA	0	0	0	0	0	0	0	0
ENSMUSG00000070960	Gm19680	0	0	1	5	1	1	3	4
ENSMUSG00000088620	Gm23032	0	0	0	0	0	0	0	0
ENSMUSG00000082159	NA	0	0	0	0	0	0	0	0
ENSMUSG00000026058	Khdrbs2	0	0	0	0	0	0	0	0
ENSMUSG00000064688	Gm25814	0	0	0	0	0	0	0	0
ENSMUSG00000103482	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104498	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104313	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102865	Gm9839	0	0	0	0	0	0	0	0
ENSMUSG00000102321	NA	0	0	0	0	0	0	0	0
ENSMUSG00000091318	Gm5415	0	0	0	0	0	0	0	0
ENSMUSG00000089489	Gm24732	0	0	0	0	0	0	0	0
ENSMUSG00000104433	NA	0	0	0	0	0	0	0	0
ENSMUSG00000089395	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102926	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100497	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102917	NA	0	0	0	0	0	0	0	0
ENSMUSG00000100481	Gm7114	0	0	0	0	3	0	1	0
