##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Transcriptional misregulation in cancer	KEGG PATHWAY	mmu05202	5	179	0.058949863105	0.353198421187	ENSMUSG00000026435|ENSMUSG00000028496|ENSMUSG00000000134|ENSMUSG00000022901|ENSMUSG00000028926	http://www.genome.jp/kegg-bin/show_pathway?mmu05202/mmu:18647%09red/mmu:209446%09red/mmu:12524%09red/mmu:212980%09red/mmu:70122%09red
beta-Alanine metabolism	KEGG PATHWAY	mmu00410	2	34	0.0626823901248	0.353198421187	ENSMUSG00000006442|ENSMUSG00000019102	http://www.genome.jp/kegg-bin/show_pathway?mmu00410/mmu:20810%09red/mmu:11670%09red
Viral myocarditis	KEGG PATHWAY	mmu05416	3	80	0.0683864261752	0.353198421187	ENSMUSG00000030830|ENSMUSG00000026596|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu05416/mmu:11352%09red/mmu:12524%09red/mmu:16408%09red
Homologous recombination	KEGG PATHWAY	mmu03440	2	41	0.0853877110919	0.353198421187	ENSMUSG00000034329|ENSMUSG00000017146	http://www.genome.jp/kegg-bin/show_pathway?mmu03440/mmu:237911%09red/mmu:12189%09red
Bladder cancer	KEGG PATHWAY	mmu05219	2	41	0.0853877110919	0.353198421187	ENSMUSG00000018983|ENSMUSG00000054252	http://www.genome.jp/kegg-bin/show_pathway?mmu05219/mmu:14184%09red/mmu:242705%09red
Rap1 signaling pathway	KEGG PATHWAY	mmu04015	5	216	0.107451669088	0.353198421187	ENSMUSG00000056214|ENSMUSG00000054252|ENSMUSG00000009621|ENSMUSG00000022148|ENSMUSG00000030830	http://www.genome.jp/kegg-bin/show_pathway?mmu04015/mmu:14184%09red/mmu:22325%09red/mmu:23880%09red/mmu:93737%09red/mmu:16408%09red
Sphingolipid metabolism	KEGG PATHWAY	mmu00600	2	48	0.110129325085	0.353198421187	ENSMUSG00000030760|ENSMUSG00000037049	http://www.genome.jp/kegg-bin/show_pathway?mmu00600/mmu:66190%09red/mmu:20597%09red
Epstein-Barr virus infection	KEGG PATHWAY	mmu05169	5	220	0.11360034938	0.353198421187	ENSMUSG00000018983|ENSMUSG00000030830|ENSMUSG00000024778|ENSMUSG00000032690|ENSMUSG00000002948	http://www.genome.jp/kegg-bin/show_pathway?mmu05169/mmu:246728%09red/mmu:26400%09red/mmu:242705%09red/mmu:14102%09red/mmu:16408%09red
Notch signaling pathway	KEGG PATHWAY	mmu04330	2	49	0.113803484258	0.353198421187	ENSMUSG00000040415|ENSMUSG00000004947	http://www.genome.jp/kegg-bin/show_pathway?mmu04330/mmu:74198%09red/mmu:80904%09red
Arginine and proline metabolism	KEGG PATHWAY	mmu00330	2	50	0.117508860532	0.353198421187	ENSMUSG00000006442|ENSMUSG00000025140	http://www.genome.jp/kegg-bin/show_pathway?mmu00330/mmu:20810%09red/mmu:209027%09red
Aldosterone synthesis and secretion	KEGG PATHWAY	mmu04925	3	103	0.119468380047	0.353198421187	ENSMUSG00000032193|ENSMUSG00000039145|ENSMUSG00000045569	http://www.genome.jp/kegg-bin/show_pathway?mmu04925/mmu:227541%09red/mmu:16835%09red/mmu:17200%09red
Fanconi anemia pathway	KEGG PATHWAY	mmu03460	2	52	0.125008594134	0.353198421187	ENSMUSG00000034329|ENSMUSG00000017146	http://www.genome.jp/kegg-bin/show_pathway?mmu03460/mmu:237911%09red/mmu:12189%09red
Influenza A	KEGG PATHWAY	mmu05164	4	165	0.126262016737	0.353198421187	ENSMUSG00000059743|ENSMUSG00000032109|ENSMUSG00000024778|ENSMUSG00000032690	http://www.genome.jp/kegg-bin/show_pathway?mmu05164/mmu:246728%09red/mmu:270151%09red/mmu:14102%09red/mmu:110196%09red
Cytokine-cytokine receptor interaction	KEGG PATHWAY	mmu04060	6	296	0.130010842298	0.35511279747	ENSMUSG00000097328|ENSMUSG00000059327|ENSMUSG00000025352|ENSMUSG00000026072|ENSMUSG00000024778|ENSMUSG00000026070	http://www.genome.jp/kegg-bin/show_pathway?mmu04060/mmu:21944%09red/mmu:13607%09red/mmu:16177%09red/mmu:16182%09red/mmu:14102%09red/mmu:14561%09red
Tight junction	KEGG PATHWAY	mmu04530	4	167	0.130204161981	0.35511279747	ENSMUSG00000056214|ENSMUSG00000002948|ENSMUSG00000041378|ENSMUSG00000018569	http://www.genome.jp/kegg-bin/show_pathway?mmu04530/mmu:26400%09red/mmu:53624%09red/mmu:93737%09red/mmu:12741%09red
Allograft rejection	KEGG PATHWAY	mmu05330	2	55	0.136463714684	0.35511279747	ENSMUSG00000024778|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu05330/mmu:12524%09red/mmu:14102%09red
Graft-versus-host disease	KEGG PATHWAY	mmu05332	2	57	0.144224807234	0.35867147397	ENSMUSG00000024778|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu05332/mmu:12524%09red/mmu:14102%09red
TNF signaling pathway	KEGG PATHWAY	mmu04668	3	113	0.145028088426	0.35867147397	ENSMUSG00000002948|ENSMUSG00000024778|ENSMUSG00000026070	http://www.genome.jp/kegg-bin/show_pathway?mmu04668/mmu:26400%09red/mmu:16182%09red/mmu:14102%09red
Natural killer cell mediated cytotoxicity	KEGG PATHWAY	mmu04650	3	114	0.147677102655	0.35867147397	ENSMUSG00000009621|ENSMUSG00000030830|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu04650/mmu:22325%09red/mmu:14102%09red/mmu:16408%09red
Tuberculosis	KEGG PATHWAY	mmu05152	4	177	0.15065396629	0.363567990077	ENSMUSG00000036120|ENSMUSG00000041135|ENSMUSG00000028680|ENSMUSG00000022479	http://www.genome.jp/kegg-bin/show_pathway?mmu05152/mmu:22337%09red/mmu:192656%09red/mmu:19727%09red/mmu:12795%09red
Type I diabetes mellitus	KEGG PATHWAY	mmu04940	2	62	0.164003018924	0.366468250072	ENSMUSG00000024778|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu04940/mmu:12524%09red/mmu:14102%09red
Glutathione metabolism	KEGG PATHWAY	mmu00480	2	64	0.172044235936	0.371279937773	ENSMUSG00000057103|ENSMUSG00000006442	http://www.genome.jp/kegg-bin/show_pathway?mmu00480/mmu:20810%09red/mmu:66116%09red
Yersinia infection	KEGG PATHWAY	mmu05135	3	123	0.172188551713	0.371279937773	ENSMUSG00000002948|ENSMUSG00000022148|ENSMUSG00000009621	http://www.genome.jp/kegg-bin/show_pathway?mmu05135/mmu:26400%09red/mmu:22325%09red/mmu:23880%09red
Cortisol synthesis and secretion	KEGG PATHWAY	mmu04927	2	69	0.192409151407	0.38153812	ENSMUSG00000032193|ENSMUSG00000045569	http://www.genome.jp/kegg-bin/show_pathway?mmu04927/mmu:16835%09red/mmu:17200%09red
Fatty acid biosynthesis	KEGG PATHWAY	mmu00061	1	18	0.194802232516	0.38153812	ENSMUSG00000021786	http://www.genome.jp/kegg-bin/show_pathway?mmu00061/mmu:71147%09red
Autoimmune thyroid disease	KEGG PATHWAY	mmu05320	2	70	0.196520294199	0.383711451625	ENSMUSG00000024778|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu05320/mmu:12524%09red/mmu:14102%09red
p53 signaling pathway	KEGG PATHWAY	mmu04115	2	71	0.200642282335	0.388566535547	ENSMUSG00000026389|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu04115/mmu:68428%09red/mmu:14102%09red
Arginine biosynthesis	KEGG PATHWAY	mmu00220	1	19	0.203935819132	0.388566535547	ENSMUSG00000048217	http://www.genome.jp/kegg-bin/show_pathway?mmu00220/mmu:217214%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	mmu01210	1	19	0.203935819132	0.388566535547	ENSMUSG00000048217	http://www.genome.jp/kegg-bin/show_pathway?mmu01210/mmu:217214%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	mmu04120	3	137	0.212332069613	0.392522192479	ENSMUSG00000027300|ENSMUSG00000022517|ENSMUSG00000017146	http://www.genome.jp/kegg-bin/show_pathway?mmu04120/mmu:12189%09red/mmu:17237%09red/mmu:140629%09red
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	mmu05167	4	208	0.220636094316	0.398693486065	ENSMUSG00000018983|ENSMUSG00000024778|ENSMUSG00000022901|ENSMUSG00000002948	http://www.genome.jp/kegg-bin/show_pathway?mmu05167/mmu:26400%09red/mmu:12524%09red/mmu:14102%09red/mmu:242705%09red
Glioma	KEGG PATHWAY	mmu05214	2	76	0.221388488531	0.398693486065	ENSMUSG00000018983|ENSMUSG00000039145	http://www.genome.jp/kegg-bin/show_pathway?mmu05214/mmu:227541%09red/mmu:242705%09red
Chronic myeloid leukemia	KEGG PATHWAY	mmu05220	2	77	0.225559917571	0.403070676021	ENSMUSG00000018983|ENSMUSG00000004508	http://www.genome.jp/kegg-bin/show_pathway?mmu05220/mmu:14389%09red/mmu:242705%09red
Biosynthesis of amino acids	KEGG PATHWAY	mmu01230	2	77	0.225559917571	0.403070676021	ENSMUSG00000048217|ENSMUSG00000025140	http://www.genome.jp/kegg-bin/show_pathway?mmu01230/mmu:217214%09red/mmu:209027%09red
MicroRNAs in cancer	KEGG PATHWAY	mmu05206	5	282	0.227334300209	0.403070676021	ENSMUSG00000020044|ENSMUSG00000018983|ENSMUSG00000026435|ENSMUSG00000054252|ENSMUSG00000017146	http://www.genome.jp/kegg-bin/show_pathway?mmu05206/mmu:14184%09red/mmu:242705%09red/mmu:12189%09red/mmu:212980%09red/mmu:21859%09red
Platinum drug resistance	KEGG PATHWAY	mmu01524	2	78	0.229737124527	0.403070676021	ENSMUSG00000017146|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu01524/mmu:14102%09red/mmu:12189%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	mmu00900	1	22	0.230721745312	0.403070676021	ENSMUSG00000059743	http://www.genome.jp/kegg-bin/show_pathway?mmu00900/mmu:110196%09red
B cell receptor signaling pathway	KEGG PATHWAY	mmu04662	2	79	0.233919445252	0.406032651759	ENSMUSG00000025017|ENSMUSG00000009621	http://www.genome.jp/kegg-bin/show_pathway?mmu04662/mmu:22325%09red/mmu:83490%09red
Phenylalanine metabolism	KEGG PATHWAY	mmu00360	1	23	0.239449276166	0.407408300815	ENSMUSG00000019102	http://www.genome.jp/kegg-bin/show_pathway?mmu00360/mmu:11670%09red
Mannose type O-glycan biosynthesis	KEGG PATHWAY	mmu00515	1	23	0.239449276166	0.407408300815	ENSMUSG00000040434	http://www.genome.jp/kegg-bin/show_pathway?mmu00515/mmu:228366%09red
Regulation of actin cytoskeleton	KEGG PATHWAY	mmu04810	4	217	0.242396079281	0.411001605172	ENSMUSG00000009621|ENSMUSG00000037509|ENSMUSG00000030830|ENSMUSG00000054252	http://www.genome.jp/kegg-bin/show_pathway?mmu04810/mmu:14184%09red/mmu:22325%09red/mmu:226970%09red/mmu:16408%09red
Cardiac muscle contraction	KEGG PATHWAY	mmu04260	2	82	0.246490660345	0.411001605172	ENSMUSG00000035458|ENSMUSG00000009876	http://www.genome.jp/kegg-bin/show_pathway?mmu04260/mmu:84682%09red/mmu:21954%09red
RNA degradation	KEGG PATHWAY	mmu03018	2	82	0.246490660345	0.411001605172	ENSMUSG00000038784|ENSMUSG00000037296	http://www.genome.jp/kegg-bin/show_pathway?mmu03018/mmu:53621%09red/mmu:67207%09red
Histidine metabolism	KEGG PATHWAY	mmu00340	1	24	0.248078135891	0.411001605172	ENSMUSG00000019102	http://www.genome.jp/kegg-bin/show_pathway?mmu00340/mmu:11670%09red
Rheumatoid arthritis	KEGG PATHWAY	mmu05323	2	83	0.250687075409	0.413874299018	ENSMUSG00000030830|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu05323/mmu:12524%09red/mmu:16408%09red
Peroxisome	KEGG PATHWAY	mmu04146	2	84	0.254885492036	0.417818462307	ENSMUSG00000018733|ENSMUSG00000029047	http://www.genome.jp/kegg-bin/show_pathway?mmu04146/mmu:668173%09red/mmu:103737%09red
ErbB signaling pathway	KEGG PATHWAY	mmu04012	2	85	0.259085327892	0.42076346813	ENSMUSG00000002948|ENSMUSG00000026596	http://www.genome.jp/kegg-bin/show_pathway?mmu04012/mmu:26400%09red/mmu:11352%09red
Staphylococcus aureus infection	KEGG PATHWAY	mmu05150	2	88	0.271687719024	0.428180497648	ENSMUSG00000030830|ENSMUSG00000026580	http://www.genome.jp/kegg-bin/show_pathway?mmu05150/mmu:20344%09red/mmu:16408%09red
Collecting duct acid secretion	KEGG PATHWAY	mmu04966	1	27	0.273383742684	0.428180497648	ENSMUSG00000006574	http://www.genome.jp/kegg-bin/show_pathway?mmu04966/mmu:20533%09red
Cushing syndrome	KEGG PATHWAY	mmu04934	3	159	0.278688297918	0.436127592772	ENSMUSG00000018983|ENSMUSG00000032193|ENSMUSG00000045569	http://www.genome.jp/kegg-bin/show_pathway?mmu04934/mmu:16835%09red/mmu:17200%09red/mmu:242705%09red
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	mmu05410	2	91	0.284283128922	0.439431111046	ENSMUSG00000035458|ENSMUSG00000001964	http://www.genome.jp/kegg-bin/show_pathway?mmu05410/mmu:13726%09red/mmu:21954%09red
Fc gamma R-mediated phagocytosis	KEGG PATHWAY	mmu04666	2	91	0.284283128922	0.439431111046	ENSMUSG00000004508|ENSMUSG00000009621	http://www.genome.jp/kegg-bin/show_pathway?mmu04666/mmu:22325%09red/mmu:14389%09red
Hepatitis B	KEGG PATHWAY	mmu05161	3	164	0.294085793998	0.446524875098	ENSMUSG00000018983|ENSMUSG00000024778|ENSMUSG00000002948	http://www.genome.jp/kegg-bin/show_pathway?mmu05161/mmu:26400%09red/mmu:14102%09red/mmu:242705%09red
Chemical carcinogenesis	KEGG PATHWAY	mmu05204	2	94	0.296857826146	0.446524875098	ENSMUSG00000030711|ENSMUSG00000019102	http://www.genome.jp/kegg-bin/show_pathway?mmu05204/mmu:11670%09red/mmu:20887%09red
Dilated cardiomyopathy (DCM)	KEGG PATHWAY	mmu05414	2	94	0.296857826146	0.446524875098	ENSMUSG00000035458|ENSMUSG00000001964	http://www.genome.jp/kegg-bin/show_pathway?mmu05414/mmu:13726%09red/mmu:21954%09red
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	mmu05166	4	239	0.297326302109	0.446524875098	ENSMUSG00000059743|ENSMUSG00000018983|ENSMUSG00000030830|ENSMUSG00000026072	http://www.genome.jp/kegg-bin/show_pathway?mmu05166/mmu:16177%09red/mmu:242705%09red/mmu:110196%09red/mmu:16408%09red
TGF-beta signaling pathway	KEGG PATHWAY	mmu04350	2	95	0.301042549856	0.450254944133	ENSMUSG00000024232|ENSMUSG00000036867	http://www.genome.jp/kegg-bin/show_pathway?mmu04350/mmu:17130%09red/mmu:68010%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	mmu00630	1	31	0.305809187164	0.452024204777	ENSMUSG00000017718	http://www.genome.jp/kegg-bin/show_pathway?mmu00630/mmu:71562%09red
Human cytomegalovirus infection	KEGG PATHWAY	mmu05163	4	247	0.317702227973	0.464930455624	ENSMUSG00000018983|ENSMUSG00000066406|ENSMUSG00000026072|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu05163/mmu:75547%09red/mmu:16177%09red/mmu:14102%09red/mmu:242705%09red
Phagosome	KEGG PATHWAY	mmu04145	3	172	0.318821926102	0.466160034146	ENSMUSG00000062591|ENSMUSG00000038195|ENSMUSG00000071715	http://www.genome.jp/kegg-bin/show_pathway?mmu04145/mmu:17972%09red/mmu:22153%09red/mmu:280408%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	mmu04620	2	100	0.321894735174	0.466685700345	ENSMUSG00000002948|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu04620/mmu:26400%09red/mmu:12524%09red
Primary immunodeficiency	KEGG PATHWAY	mmu05340	1	35	0.336792488099	0.480914254704	ENSMUSG00000036120	http://www.genome.jp/kegg-bin/show_pathway?mmu05340/mmu:19727%09red
Fructose and mannose metabolism	KEGG PATHWAY	mmu00051	1	35	0.336792488099	0.480914254704	ENSMUSG00000025648	http://www.genome.jp/kegg-bin/show_pathway?mmu00051/mmu:270198%09red
T cell receptor signaling pathway	KEGG PATHWAY	mmu04660	2	104	0.33846595533	0.482212038769	ENSMUSG00000002948|ENSMUSG00000009621	http://www.genome.jp/kegg-bin/show_pathway?mmu04660/mmu:26400%09red/mmu:22325%09red
NF-kappa B signaling pathway	KEGG PATHWAY	mmu04064	2	105	0.342590189333	0.482916566083	ENSMUSG00000026072|ENSMUSG00000059327	http://www.genome.jp/kegg-bin/show_pathway?mmu04064/mmu:13607%09red/mmu:16177%09red
Parathyroid hormone synthesis, secretion and action	KEGG PATHWAY	mmu04928	2	107	0.350813865002	0.490808551772	ENSMUSG00000066406|ENSMUSG00000022479	http://www.genome.jp/kegg-bin/show_pathway?mmu04928/mmu:22337%09red/mmu:75547%09red
Endocytosis	KEGG PATHWAY	mmu04144	4	263	0.358722858839	0.49559376312	ENSMUSG00000056214|ENSMUSG00000032193|ENSMUSG00000054252|ENSMUSG00000032812	http://www.genome.jp/kegg-bin/show_pathway?mmu04144/mmu:14184%09red/mmu:69710%09red/mmu:16835%09red/mmu:93737%09red
Ferroptosis	KEGG PATHWAY	mmu04216	1	40	0.373590714218	0.50452079322	ENSMUSG00000026389	http://www.genome.jp/kegg-bin/show_pathway?mmu04216/mmu:68428%09red
Tyrosine metabolism	KEGG PATHWAY	mmu00350	1	40	0.373590714218	0.50452079322	ENSMUSG00000019102	http://www.genome.jp/kegg-bin/show_pathway?mmu00350/mmu:11670%09red
C-type lectin receptor signaling pathway	KEGG PATHWAY	mmu04625	2	113	0.375262833358	0.505336142857	ENSMUSG00000030159|ENSMUSG00000028680	http://www.genome.jp/kegg-bin/show_pathway?mmu04625/mmu:12795%09red/mmu:56760%09red
Intestinal immune network for IgA production	KEGG PATHWAY	mmu04672	1	42	0.387733783615	0.513001621398	ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu04672/mmu:12524%09red
NOD-like receptor signaling pathway	KEGG PATHWAY	mmu04621	3	197	0.395852898746	0.520106725297	ENSMUSG00000032109|ENSMUSG00000041135|ENSMUSG00000032690	http://www.genome.jp/kegg-bin/show_pathway?mmu04621/mmu:246728%09red/mmu:192656%09red/mmu:270151%09red
Oxidative phosphorylation	KEGG PATHWAY	mmu00190	2	119	0.399328572573	0.522164206405	ENSMUSG00000020544|ENSMUSG00000009876	http://www.genome.jp/kegg-bin/show_pathway?mmu00190/mmu:84682%09red/mmu:69802%09red
Hedgehog signaling pathway	KEGG PATHWAY	mmu04340	1	44	0.401558625961	0.522164206405	ENSMUSG00000073563	http://www.genome.jp/kegg-bin/show_pathway?mmu04340/mmu:70425%09red
Neurotrophin signaling pathway	KEGG PATHWAY	mmu04722	2	122	0.41119980853	0.530327224089	ENSMUSG00000002948|ENSMUSG00000041135	http://www.genome.jp/kegg-bin/show_pathway?mmu04722/mmu:26400%09red/mmu:192656%09red
Mineral absorption	KEGG PATHWAY	mmu04978	1	46	0.4150723769	0.531413086948	ENSMUSG00000022479	http://www.genome.jp/kegg-bin/show_pathway?mmu04978/mmu:22337%09red
Sphingolipid signaling pathway	KEGG PATHWAY	mmu04071	2	123	0.415131364963	0.531413086948	ENSMUSG00000004508|ENSMUSG00000037049	http://www.genome.jp/kegg-bin/show_pathway?mmu04071/mmu:14389%09red/mmu:20597%09red
Lysosome	KEGG PATHWAY	mmu04142	2	124	0.419049797435	0.535342482611	ENSMUSG00000029408|ENSMUSG00000037049	http://www.genome.jp/kegg-bin/show_pathway?mmu04142/mmu:56325%09red/mmu:20597%09red
Proteoglycans in cancer	KEGG PATHWAY	mmu05205	3	205	0.420095971461	0.536316854254	ENSMUSG00000020044|ENSMUSG00000009621|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu05205/mmu:22325%09red/mmu:14102%09red/mmu:21859%09red
ABC transporters	KEGG PATHWAY	mmu02010	1	48	0.428282012622	0.542013088884	ENSMUSG00000029408	http://www.genome.jp/kegg-bin/show_pathway?mmu02010/mmu:56325%09red
Tryptophan metabolism	KEGG PATHWAY	mmu00380	1	48	0.428282012622	0.542013088884	ENSMUSG00000017718	http://www.genome.jp/kegg-bin/show_pathway?mmu00380/mmu:71562%09red
Parkinson disease	KEGG PATHWAY	mmu05012	2	128	0.434588224047	0.545486841755	ENSMUSG00000009876|ENSMUSG00000036273	http://www.genome.jp/kegg-bin/show_pathway?mmu05012/mmu:84682%09red/mmu:66725%09red
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	mmu00520	1	49	0.434774924613	0.545486841755	ENSMUSG00000016756	http://www.genome.jp/kegg-bin/show_pathway?mmu00520/mmu:12763%09red
Cholesterol metabolism	KEGG PATHWAY	mmu04979	1	49	0.434774924613	0.545486841755	ENSMUSG00000032193	http://www.genome.jp/kegg-bin/show_pathway?mmu04979/mmu:16835%09red
MAPK signaling pathway	KEGG PATHWAY	mmu04010	4	294	0.437722921021	0.547729472881	ENSMUSG00000002948|ENSMUSG00000054252|ENSMUSG00000026072|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu04010/mmu:14184%09red/mmu:26400%09red/mmu:16177%09red/mmu:14102%09red
cAMP signaling pathway	KEGG PATHWAY	mmu04024	3	213	0.44400990943	0.550502456515	ENSMUSG00000009621|ENSMUSG00000035458|ENSMUSG00000045569	http://www.genome.jp/kegg-bin/show_pathway?mmu04024/mmu:22325%09red/mmu:17200%09red/mmu:21954%09red
Cysteine and methionine metabolism	KEGG PATHWAY	mmu00270	1	52	0.453816067156	0.556101035661	ENSMUSG00000006442	http://www.genome.jp/kegg-bin/show_pathway?mmu00270/mmu:20810%09red
Apoptosis	KEGG PATHWAY	mmu04210	2	137	0.468708877392	0.568459741042	ENSMUSG00000015337|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu04210/mmu:13804%09red/mmu:14102%09red
Systemic lupus erythematosus	KEGG PATHWAY	mmu05322	2	139	0.476124463713	0.575241050667	ENSMUSG00000069300|ENSMUSG00000022901	http://www.genome.jp/kegg-bin/show_pathway?mmu05322/mmu:319183%09red/mmu:12524%09red
Ovarian steroidogenesis	KEGG PATHWAY	mmu04913	1	57	0.484141280139	0.580478645135	ENSMUSG00000032193	http://www.genome.jp/kegg-bin/show_pathway?mmu04913/mmu:16835%09red
Endocrine and other factor-regulated calcium reabsorption	KEGG PATHWAY	mmu04961	1	57	0.484141280139	0.580478645135	ENSMUSG00000022479	http://www.genome.jp/kegg-bin/show_pathway?mmu04961/mmu:22337%09red
Fluid shear stress and atherosclerosis	KEGG PATHWAY	mmu05418	2	144	0.494385810575	0.590337561479	ENSMUSG00000002948|ENSMUSG00000026072	http://www.genome.jp/kegg-bin/show_pathway?mmu05418/mmu:26400%09red/mmu:16177%09red
Inflammatory bowel disease (IBD)	KEGG PATHWAY	mmu05321	1	59	0.495796186676	0.590337561479	ENSMUSG00000026070	http://www.genome.jp/kegg-bin/show_pathway?mmu05321/mmu:16182%09red
Measles	KEGG PATHWAY	mmu05162	2	145	0.497989599405	0.592576303191	ENSMUSG00000024778|ENSMUSG00000032690	http://www.genome.jp/kegg-bin/show_pathway?mmu05162/mmu:246728%09red/mmu:14102%09red
Fatty acid metabolism	KEGG PATHWAY	mmu01212	1	60	0.501524861799	0.594601296855	ENSMUSG00000021786	http://www.genome.jp/kegg-bin/show_pathway?mmu01212/mmu:71147%09red
